mbid,artist_mb,artist_lastfm,tags_mb,az_artist,done
06fb1c8b-566e-4cb2-985b-b467c90781d4,Jimi Hendrix,Jimi Hendrix,rock; guitarist; american; 60s; hard rock; psychedelic rock; psychedelic; blues rock; jam band; classic rock; acid rock; guitar god; psychadelic; classic pop and rock; united states; jimi hendrix; death by overdose; gypsy sun; death by choking; death by sleeping pills; 27 club,Jimi Hendrix,False
516cef4d-0718-4007-9939-f9b38af3f784,Fall Out Boy,Fall Out Boy,rock; alternative rock; hardcore punk; acoustic rock; pop rock; pop punk; pop and chart; emo-pop; post-emo,Fall Out Boy,False
83b9cbe7-9857-49e2-ab8e-b57b01038103,Pearl Jam,Pearl Jam,rock; alternative rock; american; seattle; grunge; hard rock; acoustic rock; pop rock; rock and indie; immortality; twenty,Pearl Jam,False
66c662b6-6e2f-4930-8610-912e24c63ed1,AC/DC,AC/DC,rock; heavy metal; metal; australian; band; hard rock; blues rock; glam rock; rock and roll; australia; blues-rock; classic pop and rock; australie; australien; best rock; rock & roll; want to listen; volts,AC/DC,False
8538e728-ca0b-4321-b7e5-cff6565dd4c0,Depeche Mode,Depeche Mode,electronic; downtempo; synthpop; alternative rock; british; new wave; dark wave; uk; britannique; remix; electronica; synth-pop; producer; post punk; alternative dance; new romantic; english; synth pop; producteur; rock and indie; electronic rock; barrel,Depeche Mode,False
8970d868-0723-483b-a75b-51088913d3d4,Moby,Moby,rock; electronic; downtempo; pop; ambient; rave; house; american; techno; electronica; producer; composer; lyricist; pop rock; trip hop; parolier; compositeur; producteur; dance and electronica; play,Moby,False
72c536dc-7137-4477-a521-567eeb840fa8,Bob Dylan,Bob Dylan,rock; folk; american; blues; singer-songwriter; country; folk rock; blues rock; country rock; 1980s; 1990s; 1970s; icon; 1960s; 2000s; pop rock; contemporary folk; classic pop and rock; rare; siple twist of fate; 1 13 165900 150 7672 22647 34612 48720 59280 74602 87545 95495 107182 131087 141522 153710; teater konsert; singer/songwriter; pop/rock; dylan bootleg series; pledging my time,Bob Dylan,False
3414d446-735a-443c-931f-10634f57e5b9,Usher,Usher,soul; pop rap; hip hop rnb and dance hall; contemporary r&b,Usher,False
8e68819d-71be-4e7d-b41d-f1df81b01d3f,50 Cent,50 Cent,rap; hip-hop; hip hop; gangsta rap; pop rap; hip hop rnb and dance hall; gangster rap; hip-hop/rap; east coast hip hop; hardcore hip hop,50 Cent,False
847e8284-8582-4b0e-9c26-b042a4f49e57,Placebo,Placebo,rock; alternative rock; british; uk; britannique; indie rock; rock and indie; pop/rock,Placebo,False
0103c1cc-4a09-4a5d-a344-56ad99a77193,Avril Lavigne,Avril Lavigne,rock; pop; alternative rock; punk; punk rock; electropop; post-grunge; dance-pop; pop rock; pop punk; pop and chart; teen pop; pop/rock; teen punk; mall punk; bubblegum punk; 743219675026,Avril Lavigne,False
c234fa42-e6a6-443e-937e-2f4b073538a3,Chris Brown,Chris Brown,pop; dance; american; hip-hop; electropop; rnb; dance-pop; pop rap; electro house; hip hop rnb and dance hall; r&b; contemporary r&b; ya man ain't me (produced by the.mp3; wifebeater,Chris Brown,False
e3e0abcd-7671-4482-a9d8-462f5acc9be5,Incubus,Incubus,rock; alternative rock; metal; american; indie rock; funk rock; acoustic rock; alternative metal; pop rock; funk metal; make yourself; alternative metal share,Incubus,False
10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,Massive Attack,Massive Attack,trip-hop; rock; electronic; downtempo; alternative rock; chillout; ambient; british; uk; britannique; dub; electronica; english; triphop; trip hop; england; bristol; hip hop rnb and dance hall; uk hip hop; electonic; oldest artist #4,Massive Attack,False
52074ba6-e495-4ef3-9bb4-0703888a9f68,Arcade Fire,Arcade Fire,synthpop; canadian; francophone; canada; indie rock; canadien; indie; pop montréal; art rock; baroque pop; indie pop; post-punk revival; alternative dance; chamber pop; québec; québécois; quebec; 00s; rock and indie; early demos,Arcade Fire,False
ac865b2e-bba8-4f5a-8756-dd40d5e39f46,Korn,Korn,alternative rock; industrial; industrial metal; metal; american; nu metal; new metal; acoustic rock; alternative metal; nu-metal; united states; brostep,Korn,False
ff6e677f-91dd-4986-a174-8db0474b1799,Jack Johnson,Jack Johnson,rock; pop; folk; american; acoustic; soft rock; surf; pop and chart,Jack Johnson,False
2386cd66-e923-4e8e-bf14-2eebe2e9b973,3 Doors Down,3 Doors Down,rock; alternative rock; hard rock; southern rock; post-grunge; acoustic rock; alternative metal; pop rock,3 Doors Down,False
dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3,Amy Winehouse,Amy Winehouse,pop; jazz; blues; british; uk; neo-soul; soul; crossover jazz; vocal jazz; jazz pop; english; jazz and blues; pop soul; i heard love is blind; death by overdose; r&b; contemporary r&b; rhythm & blues; frank; 27 club,Amy Winehouse,False
b83bc61f-8451-4a5d-8b8e-7e9ed295e822,Elton John,Elton John,rock; pop; british; uk; glam rock; adult contemporary; pop rock; piano rock; english; classic pop and rock; elton-john; singer/songwriter; pop/rock,Elton John,False
584c04d2-4acc-491b-8a0a-e63133f4bfc4,Yeah Yeah Yeahs,Yeah Yeah Yeahs,rock; alternative rock; indie rock; garage rock; rock and indie,Yeah Yeah Yeahs,False
f90e8b26-9e52-4669-a5c9-e28529c47894,Snoop Dogg,Snoop Dogg,american; hip-hop; hip hop; reggae; gangsta rap; west coast hip-hop; g-funk; hip hop rnb and dance hall; west coast hip hop,Snoop Dogg,False
